"Task Type","Task ID","Task Name","Status","Task Content","Assignee","Priority","Latest Comment","Comment Count","Assigned Comment Count","Due Date","Start Date","Date Created","Date Updated","Date Closed","Date Done","Created By","Space","Folder","List","Subtask ID's","Subtask URL's","tags","Lists","Sprints","Linked Tasks","Linked Docs","Time Logged","Time Logged Rolled Up","Time Estimate","Time Estimate Rolled Up","Points Estimate","Points Estimate Rolled Up"
"Task","868jtgdtx","Financiamento - Catedral dos Ímpios","em andamento","
","[]","none","",0,0,"Friday, July 10th 2026","","Tuesday, May 26th 2026, 3:39:18 pm -03:00","Thursday, July 9th 2026, 6:37:21 pm -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","[financiamento, catedral-impios]","[Sprint]","[]","Artes financiamento - Catedral dos Ímpios: https://app.clickup.com/t/868jwxcjr)","","","","","",,0
"Task","868jwxcjr","Artes financiamento - Catedral dos Ímpios","em andamento","Artes em formatos para:
Instagram (1350x1080)
Twitter/YouTube (1080x1080)
E-mail (definir)
","[]","none","",0,0,"Friday, July 10th 2026","","Tuesday, June 2nd 2026, 10:52:32 pm -03:00","Thursday, July 9th 2026, 6:37:24 pm -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","[financiamento, catedral-impios]","[Sprint]","[]","Financiamento - Catedral dos Ímpios: https://app.clickup.com/t/868jtgdtx)","","","","","",,0
"Task","868c49zr0","Análise de concorrentes","pendente","
","[Pedro Alberto de Lima]","URGENT","",0,0,"","","Tuesday, January 21st 2025, 4:59:13 pm -03:00","Tuesday, June 23rd 2026, 8:44:22 pm -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","","","","","",,0
"Task","868k1dna4","Criativos mídia paga","pendente","
","[]","none","",0,0,"Friday, June 26th 2026","","Monday, June 15th 2026, 9:29:25 pm -03:00","Tuesday, June 23rd 2026, 8:36:36 pm -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","[breu, mídia paga]","[Sprint]","[]","","","","","","",,0
"Task","868k1rb3h","Pré-campanha Catedral Ímpios","pendente","
","[]","none","",0,0,"Thursday, June 25th 2026","","Tuesday, June 16th 2026, 2:44:37 pm -03:00","Tuesday, June 16th 2026, 2:46:27 pm -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","[catedral-impios, newsletter]","[Sprint]","[]","","","","","","",,0
"Task","868kcvf6f","FC Roadkill","pendente","
","[]","none","",0,0,"Thursday, October 1st 2026","","Wednesday, July 15th 2026, 5:25:27 pm -03:00","Wednesday, July 15th 2026, 5:25:56 pm -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","[roadkill, financiamento]","[Sprint]","[]","","","","","","",,0
"Task","868f4apv1","[Mídia Paga] Reels Melodia Perdida","backlog","
","[Pedro Alberto de Lima]","HIGH","",0,0,"","","Friday, August 8th 2025, 7:21:57 pm -03:00","Tuesday, May 12th 2026, 2:14:58 pm -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Sprint","[868f4aq3j, 868f4aq61, 868f4aq7a, 868f4aq9h]","[https://app.clickup.com/t/868f4aq3j, https://app.clickup.com/t/868f4aq61, https://app.clickup.com/t/868f4aq7a, https://app.clickup.com/t/868f4aq9h]","[melodiaperdida, reels, influencer]","[Sprint]","[]","","","","","","",,0
"Task","868f3fje6","Automação pós-venda","backlog","Objetivo:
Criar uma automação de pós-venda com links e informações importantes para os clientes.
Incluir links como:
Fichas de personagem
Macros
Comunidade WhatsApp
Comunidade Discord
Playlist no Spotify
","[Pedro Alberto de Lima]","HIGH","",0,0,"","","Thursday, August 7th 2025, 12:13:27 pm -03:00","Thursday, June 18th 2026, 6:43:38 pm -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","","","","","",,0
"Task","868et41yh","Definir brindes para envio nos pacotes","backlog"," Pensar em tipos de brindes que podemos enviar
Marcador de página
Cartão-postal
Dados
Fastplay Tenebra e Picadeiro
  
","[]","NORMAL","",0,0,"","","Tuesday, July 15th 2025, 9:47:04 am -03:00","Thursday, June 18th 2026, 6:43:41 pm -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","","","","","",,0
"Task","868c633du","Detalhar agenda de ações com influenciadores","backlog","
","[]","HIGH","",0,0,"","","Thursday, January 23rd 2025, 3:58:35 pm -03:00","Tuesday, July 15th 2025, 9:54:04 am -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","","","","","",,0
