"Task Type","Task ID","Task Name","Status","Task Content","Assignee","Priority","Latest Comment","Comment Count","Assigned Comment Count","Due Date","Start Date","Date Created","Date Updated","Date Closed","Date Done","Created By","Space","Folder","List","Subtask ID's","Subtask URL's","tags","Lists","Sprints","Linked Tasks","Linked Docs","Time Logged","Time Logged Rolled Up","Time Estimate","Time Estimate Rolled Up","Points Estimate","Points Estimate Rolled Up"
"Task","868c3bwpr","Primeiros Passos em Melodia Perdida","complete","Objetivo: Explicar o sistema do jogo, regras, objetivos e como começar a jogar

Slide 1:
Melodia Perdida: Um RPG onde você é um músico aventureiro! Descubra canções ancestrais para combater o Grande Mal que ameaça o mundo.

Slide 2:
Objetivo do Jogo: Encontrar fragmentos de conhecimento antigo através de músicas mágicas e relíquias perdidas.

Slide 3:
Sistema Simples: Role dados para resolver desafios. Mais dados = mais chances de sucesso! Use equipamentos e criatividade.

Criação de Personagem: Escolha uma origem, instrumento e comece com 3 corações. Sua jornada musical começa aqui!

Slide 5:
Canções Mágicas: Use música para criar efeitos incríveis. Cada nota tem um poder único!

Slide 6:
Começando: Reúna amigos, escolham seus heróis e deixe a aventura musical começar! Regras simples, diversão garantida.
","[Pedro Alberto de Lima]","none","@Diego Bassinello   @Stefano Pelletti  post pronto para revisão!     Obs: o link com a arte e a legenda estão nos comentários dessa tarefa  ",3,0,"Monday, February 10th 2025","","Monday, January 20th 2025, 6:54:51 pm -03:00","Monday, February 10th 2025, 5:44:40 pm -03:00","Monday, February 10th 2025, 5:44:40 pm -03:00","Monday, February 10th 2025, 5:44:40 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[carrossel, melodiaperdida]","[Redes Sociais]","[]","","","","","","",,0
"Task","868c3bwr5","Conhecendo as Fadas-Madrinhas","complete","Direcionamento: Explicar a lore desses seres na lore e qual o seu papel na aventura

Slide 1:
Conheça as fadas-madrinhas do Melodia Perdida

Slide 2:
Seres antigos feitos de pura magia, protetoras das pequenas fadas.
Gostam de morar perto de seres inteligentes, sempre escondidas mas presentes.

Slide 3:
Podem aumentar os pontos de magia dos heróis em troca de favores.
Favores Possíveis:
Resgatar uma fada perdida
Tocar um instrumento
Trazer moedas
Resgatar um tesouro
","[Pedro Alberto de Lima]","none","",0,0,"Monday, February 17th 2025","","Monday, January 20th 2025, 6:54:55 pm -03:00","Monday, February 17th 2025, 2:32:33 pm -03:00","Monday, February 17th 2025, 2:32:33 pm -03:00","Monday, February 17th 2025, 2:32:33 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[melodiaperdida]","[Redes Sociais]","[]","","","","","","",,0
"Task","868c3bwrp","Caixinha de perguntas","complete","Direcionamento: Pedir aos seguidores perguntas e separar as melhores para responder depois.
","[Diego Bassinello]","none","",0,0,"Tuesday, February 18th 2025","","Monday, January 20th 2025, 6:54:57 pm -03:00","Tuesday, February 18th 2025, 8:36:20 pm -03:00","Tuesday, February 18th 2025, 8:36:20 pm -03:00","Tuesday, February 18th 2025, 8:36:20 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[stories]","[Redes Sociais]","[]","","","","","","",,0
"Task","868c3bwt6","RPG para crianças","backlog","Direcionamento: Mostrar como o RPG pode ser benéfico para as crianças e destacar que o Melodia Perdida possui uma dinâmica e dicas para jogar com elas.

Roteiro:

[INTRO - Tom questionador]
Já pensou em jogar RPG de mesa com crianças?

Se não, saiba que ele pode ser uma ótima ferramenta para o desenvolvimento delas.

[BENEFÍCIOS - Tom confiante e amigável]
O RPG traz benefícios como:
Desenvolvimento do pensamento crítico e da criatividade
Melhora habilidades de comunicação
Incentiva trabalho em equipe

Além disso, esse é o momento perfeito para descontrair e criar mais laços em família.

[MELODIA]
(mostrar o livro físico nesse momento)
Se estiver em dúvida de como começar, o Melodia Perdida é o RPG ideal para você. 

(corte para trechos do capítulo do livro) 
O jogo possui um sistema de regras simples e intuitivas, além de conter uma sessão especial com dicas para jogar com crianças.

E, o melhor de tudo, é que você pode adquirir o seu com 10% de desconto no site da Luz Negra Editora usando o cupom MELODIA10.

[FINAL - Tom amigável e convidativo]
Aproveite por que a promoção é válida até o dia 28 de fevereiro.
Até a próxima!
","[Pedro Alberto de Lima]","none","Roteiro enviado para o Fellipe  ",1,0,"","","Monday, January 20th 2025, 6:54:59 pm -03:00","Tuesday, July 15th 2025, 9:53:18 am -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[reels]","[Redes Sociais]","[]","","","","","","",,0
"Task","868c3bwtw","Lembrete promoção","complete","Direcionamento: Relembrar sobre a promoção do livro e destacar os últimos dias para usar o cupom

⏰ ÚLTIMOS DIAS! ⏰
10% OFF em Melodia Perdida
Cupom: MELODIA10
Garanta sua aventura musical agora!

","[Pedro Alberto de Lima]","none","✅  Post agendado  ",4,0,"Friday, February 21st 2025","","Monday, January 20th 2025, 6:55:01 pm -03:00","Friday, February 14th 2025, 5:25:55 pm -03:00","Friday, February 14th 2025, 5:23:37 pm -03:00","Friday, February 14th 2025, 5:23:37 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[criativo, melodiaperdida]","[Redes Sociais]","[]","","","","","","",,0
"Task","868c3bwuc","Playlist Melodia Perdida","backlog","Direcionamento: Criar uma playlist (se não existir) de músicas que inspiraram a criação do jogo ou que podem ajudar a criar o clima durante a sessão.

🎶 Playlist Oficial de Melodia Perdida 🎶
[Título da música 1]
[Título da música 2]
[Título da música 3]
Crie o clima perfeito para sua aventura musical!
","[Pedro Alberto de Lima]","none","",0,0,"","","Monday, January 20th 2025, 6:55:03 pm -03:00","Tuesday, July 15th 2025, 9:52:35 am -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[melodiaperdida, criativo]","[Redes Sociais]","[]","","","","","","",,0
"Task","868c49zbr","Ajustar Linktree","complete","
","[]","none","",0,0,"Friday, January 24th 2025","","Tuesday, January 21st 2025, 4:58:47 pm -03:00","Wednesday, January 29th 2025, 5:33:21 am -03:00","Wednesday, January 29th 2025, 5:33:21 am -03:00","Wednesday, January 29th 2025, 5:33:21 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","","","","","",,0
"Task","868c49zgh","Atualizar bio das redes sociais","complete","Inserir descrição e frases sobre a editora, bem como link para as redes/linktree.
","[Pedro Alberto de Lima]","URGENT","✅  Twitter (bio)   ✅  YouTube (links)    ✅  Instagram (bio)   ✅  WhatsApp (bio)     Facebook e Twitch não tenho acesso.  ",1,0,"Wednesday, July 16th 2025","","Tuesday, January 21st 2025, 4:58:57 pm -03:00","Thursday, July 17th 2025, 11:31:37 am -03:00","Thursday, July 17th 2025, 11:31:37 am -03:00","Thursday, July 17th 2025, 11:31:37 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","","","","","",,0
"Task","868c49zr0","Análise de concorrentes","pendente","
","[Pedro Alberto de Lima]","URGENT","",0,0,"","","Tuesday, January 21st 2025, 4:59:13 pm -03:00","Tuesday, June 23rd 2026, 8:44:22 pm -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","","","","","",,0
"Task","868c49ztm","Criar calendário de publicações","complete","
","[]","none","",0,0,"Friday, January 31st 2025","","Tuesday, January 21st 2025, 4:59:17 pm -03:00","Tuesday, February 4th 2025, 12:56:55 pm -03:00","Tuesday, February 4th 2025, 12:56:55 pm -03:00","Tuesday, February 4th 2025, 12:56:55 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","","","","","",,0
"Task","868c61xt5","Questionário sobre os livros","complete","
","[]","none","",0,0,"Friday, January 31st 2025","","Thursday, January 23rd 2025, 3:26:02 pm -03:00","Wednesday, January 29th 2025, 10:10:56 am -03:00","Wednesday, January 29th 2025, 10:10:56 am -03:00","Wednesday, January 29th 2025, 10:10:56 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","","","","","",,0
"Task","868c61y6m","Criar documento com ideias de conteúdos","complete","
","[]","none","",0,0,"Friday, January 31st 2025","","Thursday, January 23rd 2025, 3:26:26 pm -03:00","Tuesday, February 4th 2025, 12:57:05 pm -03:00","Tuesday, February 4th 2025, 12:57:05 pm -03:00","Tuesday, February 4th 2025, 12:57:05 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","","","","","",,0
"Task","868c633du","Detalhar agenda de ações com influenciadores","backlog","
","[]","HIGH","",0,0,"","","Thursday, January 23rd 2025, 3:58:35 pm -03:00","Tuesday, July 15th 2025, 9:54:04 am -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","","","","","",,0
"Task","868c9ar05","Editoriais das redes sociais","complete","
","[]","none","",0,0,"Friday, January 31st 2025","","Wednesday, January 29th 2025, 12:40:30 pm -03:00","Tuesday, February 4th 2025, 12:56:56 pm -03:00","Tuesday, February 4th 2025, 12:56:56 pm -03:00","Tuesday, February 4th 2025, 12:56:56 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","Editorais redes sociais: https://app.clickup.com/9011936800/v/dc/8cjefh0-151/8cjefh0-91","","","","",,0
"Task","868c9djt1","[DOFF] Programação DOF","complete","
","[]","none","",0,0,"Thursday, June 5th 2025","","Wednesday, January 29th 2025, 2:29:01 pm -03:00","Sunday, June 8th 2025, 6:51:02 pm -03:00","Sunday, June 8th 2025, 6:50:42 pm -03:00","Sunday, June 8th 2025, 6:50:42 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[criativo]","[Redes Sociais]","[]","","","","","","",,0
"Task","868cabcmg","Promoção Melodia Perdida","complete","Direcionamento: Divulgar a promoção de 10% na compra do livro e o seu respectivo cupom.

🎵 PROMOÇÃO ESPECIAL 🎵
10% OFF no livro Melodia Perdida
Cupom: MELODIA10
Válido até [data]
Embarque nesta aventura musical agora mesmo!
","[]","none","7%20-%20Cupom%20Melodia%20Insta%202.png   7%20-%20Cupom%20Melodia%20Insta%203.png   7%20-%20Cupom%20Melodia%20Insta.png   7%20-%20Cupom%20Melodia%20Whats.png  ",3,0,"Wednesday, February 5th 2025","","Thursday, January 30th 2025, 6:34:23 pm -03:00","Wednesday, February 5th 2025, 6:03:00 pm -03:00","Wednesday, February 5th 2025, 6:03:00 pm -03:00","Wednesday, February 5th 2025, 6:03:00 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[criativo, melodiaperdida]","[Redes Sociais]","[]","","","","","","",,0
"Task","868cb9d46","Macros / fichas Melodia Perdida","complete","","[Pedro Alberto de Lima]","none","",0,0,"Wednesday, February 19th 2025","","Saturday, February 1st 2025, 9:41:32 am -03:00","Wednesday, February 19th 2025, 11:34:29 am -03:00","Wednesday, February 19th 2025, 11:34:29 am -03:00","Wednesday, February 19th 2025, 11:34:29 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[newsletter]","[Email Marketing]","[]","","","","","","",,0
"Task","868ch8kqd","Promoção Melodia Perdida","complete","
","[Pedro Alberto de Lima]","none","",0,0,"Thursday, February 13th 2025","","Monday, February 10th 2025, 11:44:50 am -03:00","Wednesday, February 12th 2025, 2:00:59 pm -03:00","Wednesday, February 12th 2025, 2:00:59 pm -03:00","Wednesday, February 12th 2025, 2:00:59 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[newsletter]","[Email Marketing]","[]","","","","","","",,0
